cue_index,audio_onset_sample,audio_onset_time_sec,eog_activity_start_sample,eog_activity_start_time_sec,eog_activity_end_sample,eog_activity_end_time_sec,neurokit_peak_sample,neurokit_peak_time_sec,neurokit_peak_value,neurokit_peak_abs_value,neurokit_event_polarity,merged_neurokit_events,eog_detection_source,eog_detection_signal_mode,eog_derivative_lowpass_hz,label_transition_sample,label_transition_time_sec,audio_to_eog_offset_sec,eog_activity_peak_value,used_audio_fallback,eog_label_event_sample,eog_label_event_time_sec,label_start_sample,label_end_sample,label_start_time_sec,label_end_time_sec,label,label_name,eog_activity_peak_value_label
0,1567,7.835,1622,8.11,1703,8.515,1640,8.2,0.15577265552632458,0.15577265552632458,-1,1,"NeuroKit2 eog_clean/eog_findpeaks/eog_features (clean=neurokit, peaks=brainstorm)",normalized_derivative_lowpass,10.0,1703,8.515,0.68,0.15577265552632458,False,1703,8.515,1703,2105,8.515,10.525,1,Eyes Closed,0.15577265552632458
1,2105,10.525,2105,10.525,2105,10.525,2105,10.525,,,0,0,audio fallback,normalized_derivative_lowpass,10.0,2105,10.525,0.0,,True,2105,10.525,2105,3083,10.525,15.415,0,Eyes Open,
2,3002,15.01,3045,15.225,3083,15.415,3061,15.305,0.20432550498942897,0.20432550498942897,1,1,"NeuroKit2 eog_clean/eog_findpeaks/eog_features (clean=neurokit, peaks=brainstorm)",normalized_derivative_lowpass,10.0,3083,15.415,0.405,0.20432550498942897,False,3083,15.415,3083,3788,15.415,18.94,1,Eyes Closed,0.20432550498942897
3,3692,18.46,3728,18.64,3788,18.94,3746,18.73,0.16041451223267714,0.16041451223267714,-1,1,"NeuroKit2 eog_clean/eog_findpeaks/eog_features (clean=neurokit, peaks=brainstorm)",normalized_derivative_lowpass,10.0,3788,18.94,0.48,0.16041451223267714,False,3788,18.94,3788,4559,18.94,22.795,0,Eyes Open,0.16041451223267714
4,4498,22.49,4518,22.59,4559,22.795,4535,22.675,0.15862339530814962,0.15862339530814962,1,1,"NeuroKit2 eog_clean/eog_findpeaks/eog_features (clean=neurokit, peaks=brainstorm)",normalized_derivative_lowpass,10.0,4559,22.795,0.305,0.15862339530814962,False,4559,22.795,4559,6000,22.795,30.0,1,Eyes Closed,0.15862339530814962
