cue_index,cue_onset_sample,cue_onset_time_sec,label_transition_sample,label_transition_time_sec,from_label,from_label_name,target_label,target_label_name,transition_type,first_correct_prediction_time_sec,cue_to_first_correct_prediction_sec,predicted_transition_time_sec,cue_to_predicted_transition_sec,sustained_prediction_time_sec,sustained_prediction_confirm_time_sec,cue_to_sustained_prediction_sec,sustained_windows,matched_first_correct_prediction,matched_predicted_transition,matched_sustained_prediction
0,1515,7.575,1515,7.575,0,Eyes Open,1,Eyes Closed,0->1,8.28,0.7049999999999992,8.28,0.7049999999999992,8.4,8.44,0.8250000000000002,3,True,True,True
1,2550,12.75,2550,12.75,1,Eyes Closed,0,Eyes Open,1->0,13.0,0.25,13.0,0.25,13.0,13.04,0.25,3,True,True,True
2,3891,19.455,3891,19.455,0,Eyes Open,1,Eyes Closed,0->1,20.14,0.6850000000000023,20.14,0.6850000000000023,20.28,20.32,0.8250000000000028,3,True,True,True
3,5443,27.215,5443,27.215,1,Eyes Closed,0,Eyes Open,1->0,27.48,0.26500000000000057,27.48,0.26500000000000057,27.48,27.52,0.26500000000000057,3,True,True,True
