cue_index,onset_sample,onset_time_sec,label_start_sample,label_end_sample,label_start_time_sec,label_end_time_sec,label,label_name,peak_value
0,1449,7.245,1449,2660,7.245,13.3,1,Eyes Closed,0.030158717691920668
1,2660,13.3,2660,2886,13.3,14.43,0,Eyes Open,0.0107653974002426
2,2886,14.43,2886,3491,14.43,17.455,1,Eyes Closed,0.030935252136872607
3,3491,17.455,3491,4218,17.455,21.09,0,Eyes Open,0.031233664057523276
4,4218,21.09,4218,4981,21.09,24.905,1,Eyes Closed,0.030874982339645463
5,4981,24.905,4981,5695,24.905,28.475,0,Eyes Open,0.02911383350933091
6,5695,28.475,5695,6000,28.475,30.0,1,Eyes Closed,0.030386375679328354
