epoch,train_loss,train_acc,val_loss,val_acc
1,0.5154522379841467,0.7447811447811448,0.11800150573253632,1.0
2,0.3180015839310206,0.8900673400673401,0.03681135177612305,1.0
3,0.31252095178522243,0.8915824915824916,0.028380338102579117,1.0
4,0.292039446638088,0.9065656565656566,0.01596067287027836,1.0
5,0.3132252158942046,0.8892255892255893,0.022216252982616425,1.0
6,0.3008497658402029,0.8968013468013468,0.02292533591389656,1.0
7,0.3084001025467208,0.8981481481481481,0.020640462636947632,1.0
8,0.28370441372948463,0.9026936026936027,0.03969430550932884,1.0
9,0.28139997020313634,0.8915824915824916,0.039339762181043625,1.0
10,0.39701860904292224,0.8461279461279462,0.054266445338726044,1.0
11,0.3444295798086558,0.8686868686868687,1.094185471534729,0.0
12,0.4336404602535646,0.8232323232323232,0.08428564667701721,1.0
13,0.29689277928284924,0.898989898989899,0.09365887194871902,1.0
14,0.2855839324719978,0.9042087542087542,0.05614501237869263,1.0
15,0.25930806472646667,0.914983164983165,0.034245315939188004,1.0
16,0.21988454461097717,0.9324915824915825,0.021960770711302757,1.0
17,0.20660404075275768,0.936026936026936,0.023165777325630188,1.0
18,0.20457730578252362,0.9343434343434344,0.0259405430406332,1.0
19,0.23583239687211585,0.9218855218855219,0.03401939198374748,1.0
20,0.19974626106043858,0.9313131313131313,0.03872526064515114,1.0
