variant,feature_mode,label_mode,window_sec,stride_sec,checkpoint_path,variant_dir,validation_aligned_prediction_csv,test_aligned_prediction_csv,val_accuracy,val_balanced_accuracy,test_accuracy,test_balanced_accuracy,test_n_windows,test_mean_cue_to_first_correct_sec,test_median_cue_to_first_correct_sec,test_mean_cue_to_predicted_transition_sec,test_median_cue_to_predicted_transition_sec,test_mean_cue_to_sustained_prediction_sec,test_median_cue_to_sustained_prediction_sec,test_xcov_delay_sec,test_xcov_peak_coeff,test_xcov_signal_column
filtered_signal__win_3p0s__stride_0p02s__labels_endpoint,filtered_signal,endpoint,3.0,0.02,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_3p0s__stride_0p02s__labels_endpoint\lstm_checkpoint.pt,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_3p0s__stride_0p02s__labels_endpoint,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_3p0s__stride_0p02s__labels_endpoint\validation_predictions_aligned_eeg.csv,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_3p0s__stride_0p02s__labels_endpoint\run_003__run_003_train_eog_offset_labeled_test_predictions_aligned_eeg.csv,1.0,1.0,0.8550265975355195,0.855039715059597,14851.0,0.3128749999999999,0.19249999999999545,0.772368421052632,0.3225000000000193,0.32787500000000086,0.240000000000002,0.23,0.7650448436878154,prob_Eyes Closed
filtered_signal__win_3p0s__stride_0p03s__labels_endpoint,filtered_signal,endpoint,3.0,0.03,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_3p0s__stride_0p03s__labels_endpoint\lstm_checkpoint.pt,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_3p0s__stride_0p03s__labels_endpoint,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_3p0s__stride_0p03s__labels_endpoint\validation_predictions_aligned_eeg.csv,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_3p0s__stride_0p03s__labels_endpoint\run_003__run_003_train_eog_offset_labeled_test_predictions_aligned_eeg.csv,1.0,1.0,0.8897081102918897,0.8892977378844973,9901.0,0.46837500000000015,0.3825000000000216,0.6665789473684216,0.45250000000000057,0.4698749999999999,0.3825000000000216,0.385,0.8358634622228701,prob_Eyes Closed
filtered_signal__win_3p0s__stride_0p05s__labels_endpoint,filtered_signal,endpoint,3.0,0.05,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_3p0s__stride_0p05s__labels_endpoint\lstm_checkpoint.pt,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_3p0s__stride_0p05s__labels_endpoint,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_3p0s__stride_0p05s__labels_endpoint\validation_predictions_aligned_eeg.csv,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_3p0s__stride_0p05s__labels_endpoint\run_003__run_003_train_eog_offset_labeled_test_predictions_aligned_eeg.csv,1.0,1.0,0.8639959602760479,0.8638414320395502,5941.0,0.4051250000000019,0.32500000000000284,0.7180769230769246,0.41499999999999204,0.4051250000000019,0.32500000000000284,0.32,0.782500923325909,prob_Eyes Closed
filtered_signal__win_3p0s__stride_0p1s__labels_endpoint,filtered_signal,endpoint,3.0,0.1,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_3p0s__stride_0p1s__labels_endpoint\lstm_checkpoint.pt,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_3p0s__stride_0p1s__labels_endpoint,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_3p0s__stride_0p1s__labels_endpoint\validation_predictions_aligned_eeg.csv,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_3p0s__stride_0p1s__labels_endpoint\run_003__run_003_train_eog_offset_labeled_test_predictions_aligned_eeg.csv,1.0,1.0,0.8051161225176708,0.8061851348289146,2971.0,0.6688461538461541,0.634999999999998,0.7155263157894743,0.6850000000000023,0.6996153846153853,0.6700000000000017,0.635,0.7479411284460539,prob_Eyes Closed
filtered_signal__win_3p0s__stride_0p2s__labels_endpoint,filtered_signal,endpoint,3.0,0.2,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_3p0s__stride_0p2s__labels_endpoint\lstm_checkpoint.pt,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_3p0s__stride_0p2s__labels_endpoint,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_3p0s__stride_0p2s__labels_endpoint\validation_predictions_aligned_eeg.csv,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_3p0s__stride_0p2s__labels_endpoint\run_003__run_003_train_eog_offset_labeled_test_predictions_aligned_eeg.csv,1.0,1.0,0.7725437415881561,0.7732565196518022,1486.0,0.22887500000000155,0.182500000000001,0.37887500000000207,0.24499999999999034,0.7088750000000008,0.5300000000000153,0.215,0.5577881634655559,prob_Eyes Closed
filtered_signal__win_5p0s__stride_0p02s__labels_endpoint,filtered_signal,endpoint,5.0,0.02,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_5p0s__stride_0p02s__labels_endpoint\lstm_checkpoint.pt,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_5p0s__stride_0p02s__labels_endpoint,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_5p0s__stride_0p02s__labels_endpoint\validation_predictions_aligned_eeg.csv,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_5p0s__stride_0p02s__labels_endpoint\run_003__run_003_train_eog_offset_labeled_test_predictions_aligned_eeg.csv,1.0,1.0,0.8419768151311775,0.8418277804202509,14751.0,0.2538750000000002,0.13249999999999318,0.8818421052631595,0.3500000000000014,0.3133750000000008,0.1524999999999963,0.17,0.7439408721775528,prob_Eyes Closed
filtered_signal__win_5p0s__stride_0p03s__labels_endpoint,filtered_signal,endpoint,5.0,0.03,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_5p0s__stride_0p03s__labels_endpoint\lstm_checkpoint.pt,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_5p0s__stride_0p03s__labels_endpoint,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_5p0s__stride_0p03s__labels_endpoint\validation_predictions_aligned_eeg.csv,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_5p0s__stride_0p03s__labels_endpoint\run_003__run_003_train_eog_offset_labeled_test_predictions_aligned_eeg.csv,1.0,1.0,0.8660768761439902,0.8660297091328186,9834.0,0.395375000000002,0.30750000000000455,0.6862820512820531,0.3699999999999761,0.395375000000002,0.30750000000000455,0.32,0.78738422103785,prob_Eyes Closed
filtered_signal__win_5p0s__stride_0p05s__labels_endpoint,filtered_signal,endpoint,5.0,0.05,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_5p0s__stride_0p05s__labels_endpoint\lstm_checkpoint.pt,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_5p0s__stride_0p05s__labels_endpoint,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_5p0s__stride_0p05s__labels_endpoint\validation_predictions_aligned_eeg.csv,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_5p0s__stride_0p05s__labels_endpoint\run_003__run_003_train_eog_offset_labeled_test_predictions_aligned_eeg.csv,1.0,1.0,0.8264700898152856,0.826606585322707,5901.0,0.30137500000000317,0.21500000000001762,0.6126923076923108,0.33500000000000796,0.3738750000000023,0.2849999999999966,0.26,0.7363236253167434,prob_Eyes Closed
filtered_signal__win_5p0s__stride_0p1s__labels_endpoint,filtered_signal,endpoint,5.0,0.1,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_5p0s__stride_0p1s__labels_endpoint\lstm_checkpoint.pt,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_5p0s__stride_0p1s__labels_endpoint,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_5p0s__stride_0p1s__labels_endpoint\validation_predictions_aligned_eeg.csv,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_5p0s__stride_0p1s__labels_endpoint\run_003__run_003_train_eog_offset_labeled_test_predictions_aligned_eeg.csv,1.0,1.0,0.8092172145035581,0.8095141198302314,2951.0,0.7021794871794871,0.6200000000000045,0.7501351351351342,0.634999999999998,0.7149999999999999,0.6200000000000045,0.585,0.7517656538846835,prob_Eyes Closed
filtered_signal__win_5p0s__stride_0p2s__labels_endpoint,filtered_signal,endpoint,5.0,0.2,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_5p0s__stride_0p2s__labels_endpoint\lstm_checkpoint.pt,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_5p0s__stride_0p2s__labels_endpoint,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_5p0s__stride_0p2s__labels_endpoint\validation_predictions_aligned_eeg.csv,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_5p0s__stride_0p2s__labels_endpoint\run_003__run_003_train_eog_offset_labeled_test_predictions_aligned_eeg.csv,1.0,1.0,0.690379403794038,0.6913960725990801,1476.0,0.23387500000000339,0.1525000000000034,0.5884210526315814,0.2775000000000247,0.9374324324324363,0.4849999999999852,0.21,0.5798549491670288,prob_Eyes Closed
filtered_signal__win_1p0s__stride_0p02s__labels_majority,filtered_signal,majority,1.0,0.02,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_1p0s__stride_0p02s__labels_majority\lstm_checkpoint.pt,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_1p0s__stride_0p02s__labels_majority,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_1p0s__stride_0p02s__labels_majority\validation_predictions_aligned_eeg.csv,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_1p0s__stride_0p02s__labels_majority\run_003__run_003_train_eog_offset_labeled_test_predictions_aligned_eeg.csv,1.0,1.0,0.830245468530533,0.8320109442552505,14951.0,0.43437500000000123,0.4025000000000176,0.5172368421052657,0.4550000000000125,0.4583750000000014,0.40500000000001535,0.42,0.7279679847653415,prob_Eyes Closed
filtered_signal__win_1p0s__stride_0p03s__labels_majority,filtered_signal,majority,1.0,0.03,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_1p0s__stride_0p03s__labels_majority\lstm_checkpoint.pt,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_1p0s__stride_0p03s__labels_majority,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_1p0s__stride_0p03s__labels_majority\validation_predictions_aligned_eeg.csv,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_1p0s__stride_0p03s__labels_majority\run_003__run_003_train_eog_offset_labeled_test_predictions_aligned_eeg.csv,1.0,1.0,0.7716464332296579,0.7738488519370451,9967.0,0.19187500000000063,0.13500000000001222,0.5115384615384628,0.19499999999999318,0.24437500000000084,0.17249999999999943,0.18,0.7102729067007395,prob_Eyes Closed
filtered_signal__win_1p0s__stride_0p05s__labels_majority,filtered_signal,majority,1.0,0.05,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_1p0s__stride_0p05s__labels_majority\lstm_checkpoint.pt,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_1p0s__stride_0p05s__labels_majority,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_1p0s__stride_0p05s__labels_majority\validation_predictions_aligned_eeg.csv,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_1p0s__stride_0p05s__labels_majority\run_003__run_003_train_eog_offset_labeled_test_predictions_aligned_eeg.csv,1.0,1.0,0.8552081591707072,0.8555335141237781,5981.0,0.35512500000000247,0.2775000000000034,0.7065384615384634,0.37000000000000455,0.3713750000000033,0.3049999999999997,0.315,0.7652925823194295,prob_Eyes Closed
filtered_signal__win_1p0s__stride_0p1s__labels_majority,filtered_signal,majority,1.0,0.1,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_1p0s__stride_0p1s__labels_majority\lstm_checkpoint.pt,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_1p0s__stride_0p1s__labels_majority,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_1p0s__stride_0p1s__labels_majority\validation_predictions_aligned_eeg.csv,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_1p0s__stride_0p1s__labels_majority\run_003__run_003_train_eog_offset_labeled_test_predictions_aligned_eeg.csv,1.0,1.0,0.8441992644600468,0.8459103167894377,2991.0,0.571375,0.5424999999999898,0.6315384615384617,0.6200000000000045,0.6038750000000006,0.5849999999999937,0.535,0.7429100699719485,prob_Eyes Closed
filtered_signal__win_1p0s__stride_0p2s__labels_majority,filtered_signal,majority,1.0,0.2,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_1p0s__stride_0p2s__labels_majority\lstm_checkpoint.pt,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_1p0s__stride_0p2s__labels_majority,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_1p0s__stride_0p2s__labels_majority\validation_predictions_aligned_eeg.csv,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_1p0s__stride_0p2s__labels_majority\run_003__run_003_train_eog_offset_labeled_test_predictions_aligned_eeg.csv,1.0,1.0,0.7867647058823529,0.7866347254004578,1496.0,0.30387500000000045,0.21249999999999147,0.6038750000000008,0.3374999999999915,0.5438750000000008,0.5300000000000029,0.215,0.5837465098350308,prob_Eyes Closed
filtered_signal__win_2p0s__stride_0p02s__labels_majority,filtered_signal,majority,2.0,0.02,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_2p0s__stride_0p02s__labels_majority\lstm_checkpoint.pt,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_2p0s__stride_0p02s__labels_majority,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_2p0s__stride_0p02s__labels_majority\validation_predictions_aligned_eeg.csv,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_2p0s__stride_0p02s__labels_majority\run_003__run_003_train_eog_offset_labeled_test_predictions_aligned_eeg.csv,0.0,0.0,0.8108180659016173,0.8112300572802245,14901.0,0.3533749999999999,0.24249999999999972,0.645256410256411,0.35000000000002274,0.3573749999999998,0.24249999999999972,0.295,0.7692982423344196,prob_Eyes Closed
filtered_signal__win_2p0s__stride_0p03s__labels_majority,filtered_signal,majority,2.0,0.03,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_2p0s__stride_0p03s__labels_majority\lstm_checkpoint.pt,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_2p0s__stride_0p03s__labels_majority,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_2p0s__stride_0p03s__labels_majority\validation_predictions_aligned_eeg.csv,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_2p0s__stride_0p03s__labels_majority\run_003__run_003_train_eog_offset_labeled_test_predictions_aligned_eeg.csv,0.0,0.0,0.8271592510569761,0.8269242829882021,9934.0,0.3878750000000015,0.292500000000004,0.885263157894738,0.4124999999999943,0.3878750000000015,0.292500000000004,0.31,0.7880736994920172,prob_Eyes Closed
filtered_signal__win_2p0s__stride_0p05s__labels_majority,filtered_signal,majority,2.0,0.05,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_2p0s__stride_0p05s__labels_majority\lstm_checkpoint.pt,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_2p0s__stride_0p05s__labels_majority,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_2p0s__stride_0p05s__labels_majority\validation_predictions_aligned_eeg.csv,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_2p0s__stride_0p05s__labels_majority\run_003__run_003_train_eog_offset_labeled_test_predictions_aligned_eeg.csv,1.0,1.0,0.6651568528770341,0.661139094369244,5961.0,0.5326250000000008,0.3125,1.1484615384615384,0.7974999999999994,0.5526250000000006,0.3125,0.425,0.5291395324211179,prob_Eyes Closed
filtered_signal__win_2p0s__stride_0p1s__labels_majority,filtered_signal,majority,2.0,0.1,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_2p0s__stride_0p1s__labels_majority\lstm_checkpoint.pt,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_2p0s__stride_0p1s__labels_majority,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_2p0s__stride_0p1s__labels_majority\validation_predictions_aligned_eeg.csv,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_2p0s__stride_0p1s__labels_majority\run_003__run_003_train_eog_offset_labeled_test_predictions_aligned_eeg.csv,0.0,0.0,0.6893659845689366,0.6934511991427941,2981.0,0.9885135135135169,0.46000000000000085,1.2016176470588273,1.3299999999999912,1.2858108108108135,1.0949999999999989,1.665,0.5064250672074707,prob_Eyes Closed
filtered_signal__win_2p0s__stride_0p2s__labels_majority,filtered_signal,majority,2.0,0.2,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_2p0s__stride_0p2s__labels_majority\lstm_checkpoint.pt,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_2p0s__stride_0p2s__labels_majority,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_2p0s__stride_0p2s__labels_majority\validation_predictions_aligned_eeg.csv,d:\BME\BCI\online_bci\online_eeg\runs_offline_eog\offline_eog_002_vs_003\sweeps\filtered_signal__win_2p0s__stride_0p2s__labels_majority\run_003__run_003_train_eog_offset_labeled_test_predictions_aligned_eeg.csv,0.0,0.0,0.6995305164319249,0.7014666023562104,1491.0,0.23387500000000266,0.19750000000000156,0.5288750000000022,0.2775000000000247,0.82269230769231,0.5450000000000017,0.21,0.5571700537177683,prob_Eyes Closed
