epoch,train_loss,train_acc,val_loss,val_acc
1,0.5637336255685248,0.7284848484848485,0.5236498713493347,1.0
2,0.5505526647503528,0.7134680134680135,1.3255397081375122,0.0
3,0.563035893359971,0.7356902356902357,0.47741439938545227,1.0
4,0.4667765617310399,0.774074074074074,0.33370476961135864,1.0
5,0.574365740384317,0.7028282828282828,0.6393389701843262,1.0
6,0.5891264116402828,0.6623569023569024,0.795392632484436,0.0
7,0.619135666840807,0.6833670033670034,1.4699724912643433,0.0
8,0.5989762107290403,0.6886195286195286,1.5131056308746338,0.0
9,0.5446768930584494,0.7471380471380471,1.5283504724502563,0.0
10,0.5162889683166337,0.7326599326599327,1.699218511581421,0.0
11,0.5234668683363533,0.7365656565656565,0.9816617369651794,0.0
12,0.47632583416872953,0.7798653198653198,0.3616783022880554,1.0
13,0.32122582204414135,0.8868013468013468,1.6303409337997437,0.0
14,0.2583833752893639,0.9101010101010101,0.11678265780210495,1.0
15,0.2671480067972382,0.9096296296296297,0.21656593680381775,1.0
16,0.2536065551809189,0.9247811447811448,0.13110928237438202,1.0
17,0.2730674010886488,0.9242424242424242,0.2904431223869324,1.0
18,0.2582432383389184,0.9255218855218855,0.2156248241662979,1.0
19,0.27446436951959174,0.9175084175084175,0.11386605352163315,1.0
20,0.2518235056177534,0.9280808080808081,0.09291490912437439,1.0
