epoch,train_loss,train_acc,val_loss,val_acc
1,0.486823443786518,0.7560111835973905,0.36252349755107954,0.8624161073825504
2,0.3951464461369261,0.8408201304753029,0.3472982246003695,0.8758389261744967
3,0.37830227846201625,0.8479030754892823,0.33351517563698274,0.8842281879194631
4,0.36843555967383373,0.849767008387698,0.33996643746059213,0.8741610738255033
5,0.36384635728758735,0.8525629077353215,0.35314458528621084,0.8557046979865772
6,0.3596014847126611,0.8577819198508854,0.3365311700625708,0.8808724832214765
7,0.3448274522408746,0.8620689655172413,0.2965799174052757,0.889261744966443
8,0.3317099723933683,0.8717614165890027,0.28344557194301745,0.9026845637583892
9,0.3991380932113331,0.8488350419384902,0.2920022692856373,0.9043624161073825
10,0.3234816067260998,0.8769804287045666,0.30292942279937285,0.8976510067114094
11,0.3130077677748521,0.8861136999068033,0.31514505281944405,0.8859060402684564
12,0.31333346341329543,0.8857409133271202,0.30492425644957777,0.8976510067114094
13,0.3096993048171073,0.8846225535880708,0.30373800185902805,0.8859060402684564
14,0.3042840522910987,0.8881640260950606,0.32651704904817097,0.87248322147651
15,0.3018944797733623,0.887977632805219,0.28527493399861675,0.9060402684563759
16,0.3440011916711635,0.8657968313140727,0.4141294178146644,0.8489932885906041
17,0.32330924470293554,0.8767940354147251,0.3434872253229154,0.8758389261744967
18,0.3053279398927484,0.8868592730661696,0.38672528070891465,0.837248322147651
19,0.29833903453223415,0.8920782851817335,0.3032564803857931,0.8808724832214765
20,0.29385613335256583,0.8937558247903076,0.29589790710866853,0.8859060402684564
