epoch,train_loss,train_acc,val_loss,val_acc
1,0.5640084262662286,0.6788590604026845,0.08363435417413712,1.0
2,0.3592611557685289,0.8786912751677852,0.1480811983346939,1.0
3,0.33762662006704597,0.8828859060402685,0.2208041250705719,1.0
4,0.27675591455209975,0.9124161073825503,0.1608455628156662,1.0
5,0.31509125214695133,0.8922818791946309,0.14679720997810364,1.0
6,0.25119459196025096,0.9221476510067114,0.11339116841554642,1.0
7,0.251244615868434,0.9209731543624161,0.06784585118293762,1.0
8,0.2809680852714001,0.913758389261745,0.09409059584140778,1.0
9,0.25193548866566395,0.9248322147651007,0.08535582572221756,1.0
10,0.26471113190554935,0.9124161073825503,0.09288373589515686,1.0
11,0.2165041236269394,0.9290268456375839,0.06166672334074974,1.0
12,0.22007021977997465,0.9268456375838926,0.0676492303609848,1.0
13,0.3236687305489643,0.87248322147651,0.06544999778270721,1.0
14,0.17999237342268828,0.9458053691275168,0.037963490933179855,1.0
15,0.35311809519193316,0.8911073825503356,0.08135190606117249,1.0
16,0.5131930490068142,0.801510067114094,0.023754524067044258,1.0
17,0.21834624449678716,0.9533557046979866,0.010214081034064293,1.0
18,0.1404975740801568,0.9620805369127516,0.025835182517766953,1.0
19,0.1259390900349057,0.9666107382550335,0.011644137091934681,1.0
20,0.1303381114398073,0.9602348993288591,0.02366744540631771,1.0
