epoch,train_loss,train_acc,val_loss,val_acc
1,0.6643763241229405,0.5542347696879644,0.6746942584331219,0.6153846153846154
2,0.5131425529629834,0.7797176820208024,0.49125566151628525,0.7959866220735786
3,0.3401344340145145,0.8937592867756315,0.7704657858430741,0.6989966555183946
4,0.2809744913457584,0.9149331352154532,0.4099978036107028,0.8595317725752508
5,0.28501067978134836,0.913447251114413,0.5090615366613586,0.8060200668896321
6,0.25244785400237585,0.9275631500742942,0.5099691052899313,0.8160535117056856
7,0.2419055286147265,0.9309063893016345,0.36803982798072404,0.8695652173913043
8,0.24881368937499457,0.9279346210995543,1.0849359258760178,0.6989966555183946
9,0.39105853529157114,0.8807578008915304,0.3847077445541337,0.8494983277591973
10,0.27002607414396523,0.9216196136701337,0.398010757854551,0.8528428093645485
11,0.2533401816773379,0.923848439821694,0.2749517145862547,0.9096989966555183
12,0.24309093397758336,0.9268202080237742,0.30102361354939516,0.8996655518394648
13,0.2277980351718184,0.9323922734026746,0.40360327707883903,0.8528428093645485
14,0.2875693230979687,0.9145616641901931,0.5133250549086759,0.7725752508361204
15,0.23128421230443696,0.9309063893016345,0.3466654332186466,0.882943143812709
16,0.352748264850603,0.8725854383358098,0.5111384992814781,0.7959866220735786
17,0.24676128729270083,0.9219910846953938,0.378658339231708,0.8729096989966555
18,0.21483163327465793,0.9353640416047548,0.34781042847745,0.8762541806020067
19,0.1932713071335478,0.9424219910846954,0.4240223210192843,0.8662207357859532
20,0.236691502624511,0.9305349182763745,0.26143962339214655,0.9096989966555183
