epoch,train_loss,train_acc,val_loss,val_acc
1,0.6663745558663156,0.5902572968575206,0.9550234079360962,0.0
2,0.6415350792561472,0.6468015864944574,1.1139100790023804,0.0
3,0.646940569505194,0.6215803925556799,1.254048228263855,0.0
4,0.5752767164297655,0.7256178175531374,0.6200240254402161,1.0
5,0.6581171933843053,0.6065290348825384,0.10648731142282486,1.0
6,0.5938611571312096,0.6884979151835655,0.7865365147590637,0.0
7,0.6133018943078519,0.6684633377402623,0.8516521453857422,0.0
8,0.6318878524424427,0.661039357266348,1.1919867992401123,0.0
9,0.6119408645610971,0.6759890165768331,0.9568403363227844,0.0
10,0.5564765693405983,0.7106681582426523,0.709143340587616,0.0
11,0.5077854761463403,0.7713820807484999,0.9979133009910583,0.0
12,0.5753311651060713,0.7214481846842266,1.0281966924667358,0.0
13,0.530835238942583,0.7578561985152039,1.6394596099853516,0.0
14,0.38662120975992703,0.8599613546221906,1.753357172012329,0.0
15,0.43973521550165046,0.812773314349639,0.9022668600082397,0.0
16,0.5423129497018845,0.7121936336824977,0.6942704916000366,0.0
17,0.5166556799137785,0.748296552425506,1.3800127506256104,0.0
18,0.5026809212866385,0.7623309264720838,0.8845111727714539,0.0
19,0.5415182109161807,0.7313129258618937,1.1899118423461914,0.0
20,0.6348524001490169,0.6386657174819486,1.8025258779525757,0.0
