epoch,train_loss,train_acc,val_loss,val_acc
1,0.3845996768779653,0.8353971609785563,0.01591186597943306,1.0
2,0.2953081350065869,0.8899627504278667,0.005935068242251873,1.0
3,0.2811660764486327,0.8957011980267794,0.0068541173823177814,1.0
4,0.6219168556825063,0.6690828551293667,0.5511531829833984,1.0
5,0.5795916535367566,0.7219369777509312,0.1067216619849205,1.0
6,0.2994050343318323,0.897211315815967,0.019122183322906494,1.0
7,0.2670326712003566,0.903755159569113,0.010671926662325859,1.0
8,0.258769140537083,0.907882814859559,0.011061890982091427,1.0
9,0.2533495516638063,0.90899023457163,0.01564045064151287,1.0
10,0.2469060737285251,0.9131178898620759,0.011009778827428818,1.0
11,0.2441495658384821,0.9133192389006343,0.010786325670778751,1.0
12,0.24020987626986118,0.9154334038054969,0.011505206115543842,1.0
13,0.23824387429632546,0.9181516158260344,0.011481518857181072,1.0
14,0.23610118514255587,0.9175475687103594,0.009295400232076645,1.0
15,0.23735526727667558,0.9158361018826136,0.008907699957489967,1.0
16,0.23364775479109903,0.917950266787476,0.00902702659368515,1.0
17,0.2337014632415618,0.9189570119802678,0.008870363235473633,1.0
18,0.23409231709927503,0.919661733615222,0.006454691290855408,1.0
19,0.24260682900014582,0.9146280076512635,0.006120628211647272,1.0
20,0.2302351517057678,0.9207691533272928,0.007272082846611738,1.0
