epoch,train_loss,train_acc,val_loss,val_acc
1,0.5648894869441154,0.696979865771812,0.07222855091094971,1.0
2,0.29536995899757285,0.8942953020134228,0.01990673691034317,1.0
3,0.30867740551897344,0.8825503355704698,0.021753398701548576,1.0
4,0.33030691998916983,0.8667785234899329,0.007574765011668205,1.0
5,0.30335552556402734,0.8838926174496644,0.006897449027746916,1.0
6,0.30335646127694404,0.8875838926174496,0.008226794190704823,1.0
7,0.3060525690549172,0.8855704697986577,0.007216222118586302,1.0
8,0.2990415218092451,0.8865771812080537,0.007784979417920113,1.0
9,0.2985615144239976,0.8912751677852349,0.005791194271296263,1.0
10,0.28261446432779297,0.897986577181208,0.0068254657089710236,1.0
11,0.2918175807735264,0.8919463087248322,0.009612111374735832,1.0
12,0.3054919538081892,0.8859060402684564,0.005124173127114773,1.0
13,0.29256670895038833,0.8899328859060402,0.0034522954374551773,1.0
14,0.34011289265331807,0.863758389261745,0.007948790676891804,1.0
15,0.3002413792298144,0.8936241610738255,0.002342339837923646,1.0
16,0.2780973993291791,0.8996644295302013,0.0036365347914397717,1.0
17,0.27637729710780534,0.8993288590604027,0.0031642864923924208,1.0
18,0.274526306206748,0.8986577181208054,0.003116871230304241,1.0
19,0.27997014310535967,0.8966442953020134,0.00407365569844842,1.0
20,0.27320234843548513,0.9010067114093959,0.0036410484462976456,1.0
